Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,363,348,416,444,539,295,654,0.0
jmeter_view_issue,18197,182,175,223,249,290,120,990,0.0
jmeter_search_jql,5501,519,505,615,649,708,366,999,0.0
jmeter_view_dashboard,5077,286,280,339,356,399,203,871,0.0
jmeter_view_backlog,2539,294,286,347,371,415,223,697,0.0
jmeter_create_issue:open_quick_create,1693,70,66,86,93,117,53,185,0.0
jmeter_create_issue:fill_and_submit_issue_form,1693,214,202,279,300,339,169,387,0.0
jmeter_view_project_summary,1693,189,185,218,230,272,142,552,0.0
jmeter_edit_issue:open_editor,1692,80,78,90,94,125,66,212,0.0
jmeter_edit_issue:save_edit,1692,320,307,369,411,540,237,1305,0.0
jmeter_browse_projects,1692,48,47,55,58,87,37,548,0.0
jmeter_view_kanban_board,1270,205,202,236,248,278,159,416,0.0
jmeter_view_scrum_board,1270,108,102,140,148,175,74,247,0.0
jmeter_add_comment:open_comment,846,59,58,67,72,103,44,169,0.0
jmeter_add_comment:save_comment,846,168,165,189,195,221,131,651,0.0
jmeter_browse_boards,846,65,64,72,75,105,51,151,0.0
selenium_login:open_login_page,224,115,110,118,124,151,101,862,0.0
selenium_login:login_and_view_dashboard,224,528,516,562,576,596,446,2335,0.0
selenium_login,224,643,627,674,694,710,553,3198,0.0
selenium_browse_projects_list,224,298,287,344,354,377,261,666,0.0
selenium_browse_boards_list,224,299,281,296,312,778,266,1948,0.0
selenium_create_issue:open_quick_create,224,775,794,830,839,889,635,1070,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,224,618,617,625,632,638,606,724,0.0
selenium_create_issue:fill_and_submit_issue_form,224,1199,1198,1246,1269,1319,1096,1339,0.0
selenium_create_issue,224,1975,1987,2057,2086,2176,1744,2312,0.0
selenium_edit_issue:open_edit_issue_form,224,592,598,663,703,742,476,909,0.0
selenium_edit_issue:save_edit_issue_form,224,585,576,627,652,739,522,778,0.0
selenium_edit_issue,224,1604,1596,1658,1682,1763,1511,2011,0.0
selenium_save_comment:open_comment_form,224,398,396,454,463,474,263,507,0.0
selenium_save_comment:submit_form,224,792,782,839,856,1102,635,1868,0.0
selenium_save_comment,224,1349,1340,1407,1454,1691,1151,2426,0.0
selenium_search_jql,224,1165,1154,1204,1222,1283,1099,2500,0.0
selenium_view_scrum_board_backlog,224,1121,1032,1400,1416,1447,531,3590,0.0
selenium_view_scrum_board,224,839,807,904,913,1470,446,2745,0.0
selenium_view_kanban_board,224,763,766,1020,1084,1533,362,1588,0.0
selenium_view_dashboard,224,392,375,538,596,745,214,943,0.0
selenium_view_issue,224,670,672,726,743,775,516,1627,0.0
selenium_project_summary,224,470,466,520,542,594,300,1989,0.0
selenium_log_out,224,360,358,396,414,439,302,522,0.0
