Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,539,428,684,952,1731,311,5438,0.0
jmeter_view_issue,18200,190,187,222,234,267,133,3858,0.0
jmeter_view_dashboard,5079,287,278,342,367,426,210,743,0.0
jmeter_create_issue:open_quick_create,1693,76,74,86,91,119,61,321,0.0
jmeter_create_issue:fill_and_submit_issue_form,1693,229,205,294,304,341,174,1179,0.0
jmeter_view_project_summary,1693,206,195,243,251,308,151,1273,0.0
jmeter_edit_issue:open_editor,1693,85,82,98,103,129,68,174,0.0
jmeter_search_jql,5502,504,495,559,583,638,388,7465,0.0
jmeter_edit_issue:save_edit,1693,357,326,463,525,780,196,1208,0.0
jmeter_browse_projects,1693,49,48,55,58,72,39,126,0.0
jmeter_view_backlog,2539,306,304,340,353,404,241,4947,0.0
jmeter_view_kanban_board,1270,231,225,276,294,330,165,1197,0.0
jmeter_view_scrum_board,1270,121,115,162,170,190,82,425,0.0
jmeter_add_comment:open_comment,847,65,64,76,80,106,47,321,0.0
jmeter_add_comment:save_comment,847,201,203,248,263,301,137,477,0.0
jmeter_browse_boards,846,68,68,77,80,113,52,191,0.0
selenium_login:open_login_page,206,124,110,117,120,153,101,2717,0.0
selenium_login:login_and_view_dashboard,206,571,543,620,640,701,466,3863,0.0
selenium_login,206,696,656,736,757,810,576,6581,0.0
selenium_browse_projects_list,206,303,286,347,356,375,266,1009,0.0
selenium_browse_boards_list,206,332,280,298,775,841,268,4894,0.0
selenium_create_issue:open_quick_create,206,768,786,824,838,859,641,1979,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,206,625,617,623,627,643,605,2158,0.0
selenium_create_issue:fill_and_submit_issue_form,206,1203,1195,1248,1257,1275,1066,2734,0.0
selenium_create_issue,206,1972,1974,2059,2068,2113,1730,4714,0.0
selenium_edit_issue:open_edit_issue_form,206,582,555,656,665,719,444,1628,0.0
selenium_edit_issue:save_edit_issue_form,206,573,569,606,626,659,524,680,0.0
selenium_edit_issue,206,1599,1590,1643,1654,1700,1511,2851,0.0
selenium_save_comment:open_comment_form,206,371,383,434,451,507,245,516,0.0
selenium_save_comment:submit_form,206,844,824,881,910,1144,708,2819,0.0
selenium_save_comment,206,1397,1382,1464,1553,1816,1176,3688,0.0
selenium_search_jql,206,1480,1458,1538,1570,1621,1344,3499,0.0
selenium_view_scrum_board_backlog,206,1144,1364,1411,1420,1456,797,4800,0.0
selenium_view_scrum_board,206,821,806,818,826,866,786,3692,0.0
selenium_view_kanban_board,206,859,872,1142,1254,1581,395,2100,0.0
selenium_view_dashboard,206,373,357,525,576,697,227,730,0.0
selenium_view_issue,206,684,684,743,763,808,551,839,0.0
selenium_project_summary,206,458,440,502,531,586,328,2630,0.0
selenium_app_custom_action:view_issue,206,525,518,572,594,630,448,665,0.0
selenium_app_custom_action,206,525,518,572,594,630,449,665,0.0
selenium_log_out,206,352,351,382,389,415,306,429,0.0
